Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Saint Mark the Ascetic,5 March,male,,,,,,,laity,,,,,,
Saint Asaph of Llanelwy,1 May,male,,                 ,,550,,,priest,,,,,,
Blessed Arthur Bell,11 December,male,1590,  ,England,1643,,England,priest,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Blessed Roger Filcock,27 February,male,1570,   ,England,1601,,England,laity,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Saint Artemius of Clermont,24 January,male,,,,396,,,priest,,,,,,
Saint Arthelais of Benevento,3 March,female,544,         ,Constantinople,560,,fever,laity,,,,,,
Saint Artemide Zatti,15 March,male,1880,              ,Italy,1951,,Argentina,priest,1997,pope-saint-john-paul-ii,2002,pope-saint-john-paul-ii,2016,pope-francis
Saint Artemas of Pozzuoli,25 January,unknown,,  ,,,"martyred at Pozzuoli, Italy",Italy,laity,,,,,,
Saint Artaxus of Syrmium,2 January,unknown,,,,,,Serbia,laity,,,,,,
Saint Arsenius of Corfu,19 January,male,,Constantinople,,959,,,priest,,,,,,
Saint Arsenius the Great,19 July,male,354,          ,,449,,Egypt,laity,,,,,,
Saint Arsenius of Alexandria,14 December,unknown,,  ,,250,,Egypt,laity,,,,,,
Blessed Hildemar of Arrouaise,13 January,male,,Tounai,Belgium,1097,,France,laity,,,,,,
Saint John Mary Vianney,4 August,male,1786,                                                     ,France,1859,,France,priest,1896,pope-leo-xiii,1905,pope-saint-pius-x,1925,pope-pius-xi
Saint Edmund Arrowsmith,28 August,male,1585,          ,confirmation name,1628,,England,priest,,,1929,pope-pius-xi,1970,pope-saint-paul-vi
Blessed Henry of Treviso,10 June,male,1250,   ,Italy,1315,,Italy,laity,,,1750,pope-benedict-xiv,,
Saint Theophilus of Corte,19 May,unknown,,   ,France,1740,,Italy,laity,,,1896,pope-leo-xiii,1930,pope-pius-xi
Saint Wulganus,3 November,unknown,,  ,,704,,France,laity,,,,,,
Saint Enda of Arran,21 March,male,,            ,Ireland,530,,,priest,,,,,,
Blessed Frederick of Saint-Vanne,Arras,male,,,France,1020,,,priest,,,,,,
Saint Arnulph of Gap,19 September,male,,France,,1070,,,priest,,,,,,
Saint Arnulf of Soissons,14 August,male,1040,             ,Belgium,1087,,Belgium,priest,,,,,,
Saint Arnulf of Mainz,1 July,unknown,,,,1160,,Germany,laity,,,,,,
Saint Artemius Megalomartyr,20 October,male,,     ,,363,,Antioch,laity,,,,,,
Blessed Arnold Reche,23 October,male,1838,  ,France,1890,,,nun,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Saint Arnulf of Metz,18 July,male,580,         ,,640,,,priest,,,,,,
Saint Arnold of Hiltensweiler,1 May,unknown,,    ,Germany,1127,,,laity,,,,,,
Blessed Arnold of Gemblours,30 November,male,,,,1155,,,laity,,,,,,
Saint Arnold Janssen,15 January,female,1837,                   ,Arnold of Arnoldsweiler,1909,,Netherlands,nun,1973,pope-saint-paul-vi,1975,pope-saint-paul-vi,2003,pope-saint-john-paul-ii
Saint Armentarius of Pavia,30 January,male,,  ,,732,,Italy,priest,,,,,,
Martyrs of Armenia,22 November,unknown,,         ,,1895,,Armenia,laity,1982,pope-saint-john-paul-ii,1982,pope-saint-john-paul-ii,,
Saint Caesarius of Armenia,28 December,unknown,,   ,,309,,Armenia,laity,,,,,,
Saint Hermengaudius of Urgell,3 November,male,,,,,,,priest,,,,,,
Blessed Peter Armengol,27 April,male,1238,      ,Spanish,1304,,Spanish,laity,,,1688,,,
Saint Ormond of Mairé,23 January,male,,French,,,,,laity,,,,,,
Forty Martyrs of Armenia,10 March,unknown,,                ,,320,,Armenia,laity,,,,,,
Saint Colman of Armagh,5 March,unknown,,,,,buried beside Saint Patrick,Patrick,laity,,,,,,
Saint Thomian of Armagh,10 January,male,, ,,660,,,priest,,,,,,
Saint Celsus of Armagh,1 April,male,1080,                  ,Ireland,1129,,Ireland,laity,,,,,,
Saint Trophimus of Arles,29 December,male,,         ,,280,,,priest,,,,,,
Saint Honoratus of Arles,16 January,male,350,                 ,Gaul,429,,,laity,,,,,,
Saint Genesius of Arles,25 August,male,,        ,France,305,,,laity,,,,,,
Saint Hilary of Arles,5 May,male,400,          ,France,449,,,priest,,,,,,
Saint Caesarius of Arles,27 August,male,470,               ,France,543,,France,priest,,,,,,
Saint Caesaria of Arles,12 January,female,465,  ,,530,,,nun,,,,,,
