Name_of_Saint,Memorial,gender,birth_year,place_of_birth,country,death_year,death_place,death_country,vocation,veneration_year,Venerated_by,beatified_year,beatified_by,canonized_year,canonized_by
Blessed Gamelbert of Michaelsbuch,17 January,male,720,  ,Germany,802,,,priest,,,1909,pope-saint-pius-x,,
Saint Albert of Gambron,29 December,male,,diocese,France,,,,laity,,,,,,
Saint Gamaliel,3 August,male,,,,,,,laity,,,,,,
Blessed Francis Galvez,4 December,male,,   ,Spain,1623,,Japan,laity,1866,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Saint David Galván-Bermúdez,30 January,male,1881,    ,Mexico,1915,,Mexico,priest,1992,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,2000,pope-saint-john-paul-ii
Saint Baldomerus of Saint Justus,27 February,male,,   ,,650,,France,laity,,,,,,
Blessed Henry of Albano,4 July,male,,French,,1188,,France,priest,,,,,,
Saint Gallicanus,25 June,male,, ,,362,,,laity,,,,,,
Saint Gallicanus of Embrun,25 June,male,,  ,,540,,,priest,,,,,,
Venerable Silvio Gallotti,21 September,unknown,1881,,Italy,1927,,Italy,priest,2004,pope-saint-john-paul-ii,,,,
Saint Galla of Rome,6 April,female,,     ,,550,,breast cancer,nun,,,,,,
Blessed Andrea Gallerani,19 March,male,,  ,Italy,1251,,Italy,laity,,,1798,pope-pius-vi,,
Saint Gallgo,27 November,unknown,,Welsh,,,,,laity,,,,,,
Saint Tutilo of Saint Gall,28 March,male,850,      ,Ireland,915,,Switzerland,laity,,,,,,
Saint Gall,16 October,male,545,                        ,Ireland,630,,Switzerland,priest,,,,,,
Saint Walfrid,15 February,male,,    ,Italy,765,,Italy,priest,,,,,1861,pope-blessed-pius-ix
Blessed Hippolytus Galantini,20 March,male,1565,      ,Italy,1619,,,priest,,,1825,pope-leo-xii,,
Blessed Clemens August von Galen,Münster,male,1878,                ,Germany,1946,,Germany,priest,2003,pope-saint-john-paul-ii,1995,pope-benedict-xvi,,
Saint Galdinus of Milan,18 April,male,1100,  ,Italy,1176,,Italy,priest,,,,,,
Saint Gal of Clermont,1 November,male,, ,,,,,priest,,,,,,
Saint Galation,5 November,male,, ,,251,,,laity,,,,,,
Saint Gall of Clermont,1 July,male,489,      ,France,554,,,priest,,,,,,
Blessed Gaius Xeymon,1 June,unknown,, ,Japanese,1627,,Japan,laity,1866,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Saint Gajan,10 April,unknown,,,,,martyred in Dacia (an area of modern Romania),Romania,laity,,,,,,
Pope Saint Caius I,22 April,male,,                  ,,296,,,priest,,,,,,
Saint Kichi Franciscus,5 February,male,,Japan,,1597,,Japan,laity,,,1627,pope-urban-viii,1862,pope-blessed-pius-ix
Saint Gaius of Nicomedia,4 March,unknown,,,,254,,drowned,laity,,,,,,
Saint Gaius of Milan,27 September,male,,,,85,,,priest,,,,,,
Saint Gaius of Apamea,10 March,unknown,,,,172,,,laity,,,,,,
Saint Gaius of Alexandria,28 February,unknown,, ,Egyptian,,"in Alexandria, Egypt, date unknown",Egypt,laity,,,,,,
Saint Gaius of Moesia,4 January,unknown,,  ,,300,,Bulgaria,laity,,,,,,
Blessed Agnès of Jesus,19 October,female,1602,   ,pilgrimage,1634,,France,priest,1808,pope-pius-vii,1994,pope-saint-john-paul-ii,,
Saint Gaugericus of Cambrai,11 August,male,,        ,Germany,625,,,priest,,,,,,
Saint François-Isidore Gagelin,17 October,male,1799,     ,France,1833,,Vietnam,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Saint Gaius of Saragossa,16 April,unknown,, ,,304,,Spain,laity,,,,,,
Saint Gaetano Errico,29 October,male,1791,         ,Italy,1860,,Italy,priest,1974,pope-saint-paul-vi,2002,pope-saint-john-paul-ii,2008,pope-benedict-xvi
Saint Gaetano Catanoso,4 April,male,1879,                         ,Italy,1953,,Italy,priest,1990,pope-saint-john-paul-ii,1997,pope-saint-john-paul-ii,2005,pope-benedict-xvi
Saint Brigid of Ireland,Kildare,female,453,                                                                                               ,Ireland,523,,Ireland,priest,,,,,,
Saint Cajetan,Theatine,male,1480,                                  ,Italy,1547,,Italy,priest,,,1629,pope-urban-viii,1671,pope-clement-x
Blessed Fortis Gabrielli,9 May,male,,Gubbio,Italy,1040,,,laity,,,1756,pope-benedict-xiv,,
Saint Derfel Gadarn,5 April,male,566,      ,Wales,660,,Wales,laity,,,,,,
Saint Gavino of Sardinia,30 May,unknown,,,,130,,Italy,priest,,,,,,
Saint Gabdelas of Persia,29 September,male,,Persia,,,,,laity,,,,,,
Saint Gereon,10 October,unknown,,       ,,304,,Germany,laity,,,,,,
Saint Gilbert of Sempringham,4 February,male,1083,               ,England,1190,,England,priest,,,,,1202,pope-innocent-iii
Saint Gabinus of Rome,19 February,male,,,,295,,,laity,,,,,,
Blessed James Gerius,5 August,male,1312,,,1345,,,laity,,,,,,
Blessed Gilbert the Theologian,17 October,male,,England,,1167,,,laity,,,,,,
Blessed Gilbert of Valenciennes,21 August,male,,,,1185,,,laity,,,,,,
Blessed Gilbert of Neufontaines,6 June,male,,    ,France,1152,,France,laity,,,,,,
Blessed Haberilla of Mehrerau,30 January,female,,,,1100,,,laity,,,,,,
Saint Mechtilde of Helfta,19 November,female,1241,              ,Germany,1298,,monastery,nun,,,,,,
Saint Hadelin of Chelles,3 February,male,,   ,France,690,,Belgium,priest,,,,,,
Saint Herbert of Tours,30 October,male,, ,,,,,laity,,,,,,
Saint Hadelin of Lobbes,15 June,male,,,,686,,,laity,,,,,,
Venerable Adriano Osmolowski,13 December,unknown,1838,,Belarus,1924,,Italy,priest,2000,pope-saint-john-paul-ii,,,,
Saint Hadelin of Sees,10 November,male,,  ,,910,,,priest,,,,,,
Saint Habet-Deus,17 February,male,,,,500,,,priest,,,,,,
Blessed Everard Hanse,31 July,male,,    ,England,1581,,England,laity,,,1886,pope-leo=xiii,,
Blessed Levkadia Harasymiv,26 August,female,1911,     ,Ukraine,1952,,Russia,nun,2001,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Saint Hannibal Mary di Francia,1 June,male,1851,         ,Italy,1927,,Italy,priest,1989,pope-saint-john-paul-ii,1990,pope-saint-john-paul-ii,2004,pope-saint-john-paul-ii
Saint Anno II,4 December,male,1010,      ,,1075,,Germany,priest,,,,,1183,pope-lucius-iii
Saint Olaf II,29 July,male,995,                    ,,1030,,,laity,,,,,1164,pope-alexander-iii
Saint Anno of Verona,27 April,male,,Verona,Italy,780,,,priest,,,,,,
Saint Habentius of Cordoba,7 June,male,, ,,851,,Spain,laity,,,,,,
Saint Hywyn of Aberdaron,6 January,unknown,, ,Welsh,515,,,laity,,,,,,
Saint Hyperechios,7 August,male,,Egyptian,,,,,laity,,,,,,
Saint Hypatius of Constantinople,20 September,male,, ,,735,,Constantinople,priest,,,,,,
Saint Hypatius,3 June,unknown,,,,273,,beheaded,laity,,,,,,
Saint Hypatius of Gangra,14 November,male,,   ,,325,,stoned to death,priest,,,,,,
Saint Hypatius of Tripoli,18 June,unknown,, ,Greek,135,,,laity,,,,,,
Saint Hypatius of Chalcedon,17 June,male,,,,450,,,laity,,,,,,
Saint Joseph the Hymnographer,3 April,male,810,              ,Sicily,886,,,priest,,,,,,
Blessed Jacinto Orfanell-Prades,10 September,unknown,1578,,Spain,1622,,Japan,priest,1866,pope-blessed-pius-ix,1867,pope-blessed-pius-ix,,
Pope Hyginus,11 January,unknown,,Greek,,142,,,laity,,,,,,
Blessed José Negro Maroto,10 September,male,1580,Madrid,Spain,1622,,Japan,priest,,,,,,
Saint Hydroc,5 May,unknown,,,,,,,laity,,,,,,
Saint Hyacinth of Rome,11 September,male,,               ,,257,,Italy,laity,,,,,,
Saint Giacinto Ansalone,17 November,male,1598,    ,Italy,1634,,Japan,priest,1980,pope-saint-john-paul-ii,1981,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii
Saint Jacinto Castañeda Puchasóns,7 November,unknown,1743,   ,Spain,1773,,Vietnam,priest,1904,pope-saint-pius-x,1906,pope-saint-pius-x,1988,pope-saint-john-paul-ii
Habakkuk the Prophet,2 December,unknown,,     ,,,,,laity,,,,,,
Blessed Andrea Giacinto Longhin,Bishop,male,1863,           ,Italy,1936,,illness,priest,1998,pope-saint-john-paul-ii,1964,pope-saint-john-paul-ii,,
Saint Hyacinth,Poland,male,1185,                        ,Poland,1257,,Poland,priest,,,,,1594,pope-clement-viii
Saint Hyacinth of Lucania,29 October,unknown,, ,,,"Lucania, southern Italy",Italy,laity,,,,,,
Saint Hyacinth,9 September,unknown,,,,690,,Italy,laity,,,,,,
Saint Hyacintha of Mariscotti,30 January,female,1585,         ,Italy,1640,,Italy,laity,,,1726,pope-benedict-xiii,1807,pope-pius-vii
Saint Hyacinth,26 July,unknown,,,,110,,,laity,,,,,,
Saint Candida of Whitchurch,1 June,female,,   ,,,"in Dorset, England",England,laity,,,,,,
Saint Hyacinth of Caesarea,3 July,male,, ,,120,,Cappadocia,laity,,,,,,
Saint Hyacinth the Soldier,10 February,unknown,,  ,,120,,Italy,laity,,,,,,
Saint Hyacinth of Amastris,17 July,unknown,,,,,"Amastris, Paphlagonia (in modern Turkey)","Amastris, Paphlagonia (in modern Turkey)",laity,,,,,,
Blessed Ivetta of Huy,13 January,female,1158,       ,Belgium,1228,,Belgium,laity,,,,,,
Saint Domitian of Huy,7 May,male,,  ,Gaul,560,,,priest,,,,,,
Saint Augustinô Phan Viet Huy,13 June,unknown,1795,   ,Vietnam,1839,,Vietnam,laity,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Saint John Calabytes,15 January,male,,     ,Istanbul,450,,,laity,,,,,,
Saint Alberto Hurtado Cruchaga,18 August,male,1901,               ,Chile,1952,,cancer,laity,1991,pope-saint-john-paul-ii,1994,pope-saint-john-paul-ii,2005,pope-benedict-xvi
Blessed Thomas Hunt,11 July,male,1573,  ,England,1600,,England,priest,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Saint Uni of Bremen,17 September,male,,,,936,,Sweden,laity,,,,,,
Saint Huno,13 February,male,, ,,690,,England,priest,,,,,,
Saint Hunger of Utrecht,22 December,male,,,,866,,Germany,priest,,,,,,
Saint Hunna of Alsace,15 April,female,,           ,France,679,,France,laity,,,,,1520,pope-leo-x
Blessed Nicholas of Hungary,12 February,male,,,,1369,,Bulgaria,laity,,,,,,
Saint Margaret of Hungary,18 January,female,1242,                     ,,1271,,Hungary,laity,,,1789,pope-pius-vi,1943,pope-venerable-pius-xii
Blessed Ladislas of Hungary,12 February,male,,,,1369,,Bulgaria,laity,,,,,,
Saint Elizabeth of Hungary,17 November,female,1207,                                                                                   ,Hungary,1231,,Germany,laity,,,,,1235,pope-gregory-ix
Saint Gerard Sagredo,Hungary,male,980,           ,Italy,1046,,Hungary,priest,,,,,1083,pope-saint-gregory-vii
Saint Hunegund of Homblieres,25 August,female,,,,690,,,laity,,,,,,
Blessed Humphrey Middlemore,19 June,male,,  ,,1535,,England,priest,,,1886,pope-leo-xiii,,
Saint Humphrey of Prüm,8 March,male,,,,871,,,priest,,,,,,
Saint Humility,22 May,female,1226,   ,Italy,1310,,Italy,nun,,,,,1720,pope-clement-xi
Blessed Humiliana de’ Cerchi,19 May,unknown,1220,Florence,Italy,1246,,Italy,laity,,,1694,pope-innocent-xii,,
Saint Humilis of Bisignano,26 November,male,1582,  ,Italy,1637,,Italy,laity,1780,pope-pius-vi,1882,pope-leo-xiii,2002,pope-saint-john-paul-ii
Blessed Humbert of Romans,14 July,male,1193,France,,1277,,France,laity,,,,,,
Saint Humbert of Pelagius,25 March,male,,      ,France,680,,,priest,,,,,,
Blessed Humbert III of Savoy,4 March,male,1136,  ,Italy,1189,,France,laity,,,1838,pope-gregory-xvi,,
Blessed Humbert of Clairvaux,7 December,male,,,,1148,,,laity,,,,,,
Blessed Humbert,26 October,male,,,,,,,laity,,,,,,
Blessed Hugolinus of Gualdo Cattaneo,1 January,male,1200,  ,Italy,1260,,Italy,laity,,,1919,pope-benedict-xv,,
Saint Hugolinus of Morocco,10 October,male,,  ,,1227,,Morocco,laity,,,,,1516,pope-leo-x
Blessed Hugolinus Zefferini,22 March,male,1320,Cortona,Italy,1367,,,priest,,,1804,pope-pius-vii,,
Blessed John of Hungary,23 February,unknown,,French,,1287,,,laity,,,,,,
Blessed Humbeline of Jully,12 February,female,1092,    ,France,1136,,France,nun,,,1703,pope-clement-xi,,
Blessed Hugolinus Magalotti,11 December,male,,Camerino,Italy,1373,,,laity,,,1856,pope-blessed-pius-ix,,
Hugh the Little,27 July,male,1246,      ,England,1255,,,laity,,,,,,
Blessed Hugh of Vaucelles,29 March,male,,,,1239,,,laity,,,,,,
Blessed Hugh of Sassoferrato,26 July,male,1227, ,Italy,1250,,Italy,laity,,,1757,pope-benedict-xiv,,
Saint Hugh of Rouen,9 April,male,,   ,,730,,France,priest,,,,,,
Saint Hugh of Novara,17 November,male,,French,,1170,,,laity,,,,,,
Blessed Hugh of Marchiennes,11 June,male,,Tournai,Belgium,1158,,,laity,,,,,,
Blessed Hugh of Macon,10 October,male,,,,1151,,,priest,,,,,,
Blessed Hugh of Montaigu,10 August,male,,,,1136,,,priest,,,,,,
Blessed Hugh of Fosse,10 February,male,,  ,Belgium,1164,,,priest,,,1927,pope-pius-xi,,
Saint Hugh of Grenoble,1 April,male,1053,                                      ,France,1132,,France,priest,,,,,1134,pope-innocent-ii
Saint Hugh of Lincoln,Burgundy,male,1135,                                 ,France,1200,,England,priest,,,,,1220,pope-honorius-iii
Blessed Hugh of Bonnevaux,1 April,male,1120,           ,France,1194,,,laity,,,1903,pope-saint-pius-x,,
Saint Hugh of Anzy-le-Duc,20 April,male,,Poitiers,France,930,,France,laity,,,,,,
Saint Hugh of Cluny,Cluny,male,1024,           ,France,1109,,France,priest,,,,,1120,pope-saint-callistus-ii
Saint Hugh of Ambronay,21 October,male,, ,,,,,laity,,,,,,
Blessed Hugh Taylor,26 November,male,1559,  ,England,1585,,England,laity,1986,pope-saint-john-paul-ii,1987,pope-saint-john-paul-ii,,
Blessed Hugh More,28 August,male,,  ,England,1588,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Blessed Hugh Green,19 August,unknown,,   ,England,1642,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Hugh dei Lippi-Uguccioni,17 February,unknown,,Florence,Italy,1282,,Italy,laity,,,,,,
Blessed Hugh Canefro,8 October,male,1148,  ,,1233,,Italy,laity,,,,,,
Blessed Hugh Faringdon,15 November,male,,     ,England,1539,,England,laity,,,1895,pope-leo-xiii,,
Saint Hubert of Liège,3 November,male,656,                                                   ,Netherlands,727,,Belgium,priest,,,,,,
Blessed Eustáquio van Lieshout,30 August,male,1890,        ,Netherlands,1943,,Brazil,laity,2003,pope-saint-john-paul-ii,2006,pope-benedict-xvi,,
Saint Hubert of Bretigny,24 May,male,,,,714,,,laity,,,,,,
Blessed James Thompson,28 November,unknown,,    ,England,1582,,England,priest,,,1886,pope-leo-xiii,,
Saint Jonas of Hubaham,29 March,male,,     ,Persia,327,,crushed to death,laity,,,,,,
Blessed Hryhorii Khomyshyn,28 December,male,1867,      ,Ukraine,1947,,Ukraine,priest,2001,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Saint Rupert of Salzburg,Salzburg,male,,                   ,France,718,,Austria,priest,,,,,,
Blessed Hryhorii Lakota,5 November,male,1883,      ,Ukraine,1950,,Russia,priest,2001,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,,
Blessed Hroznata of Bohemia,14 July,male,1160, ,Czech Republic,1217,,Czech Republic,laity,,,1897,pope-leo-xiii,,
Blessed Anicet Hryciuk,24 January,male,1855, ,Poland,1874,,Poland,laity,1996,pope-saint-john-paul-ii,1996,pope-saint-john-paul-ii,,
Blessed Rabanus Maurus,4 February,male,776,           ,Germany,856,,Germany,priest,,,,,,
Saint Margaret of Hulme,22 May,unknown,, ,England,1170,,,laity,,,,,,
Blessed William Howard,29 December,male,1614, ,England,1680,,England,laity,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint John Houghton,4 May,male,1487,                ,England,1535,,England,priest,,,1886,pope-leo-xiii,1970,pope-saint-paul-vi
Saint Gerlac of Valkenburg,5 January,male,1100,             ,Netherlands,1177,,the Netherlands,laity,,,,,,
Saint Charles of Mount Argus,5 January,male,1821,         ,Netherlands,1893,,leg wound,laity,1979,pope-saint-john-paul-ii,1988,pope-saint-john-paul-ii,2007,pope-benedict-xvi
Saint Maria Crescentia Höss,5 April,female,1682,           ,Germany,1744,,Germany,nun,1801,pope-pius-vii,1900,pope-leo-xiii,2001,pope-saint-john-paul-ii
Saint Hospitius of Cap-Saint-Hospice,21 May,male,,       ,Gaul,581,,,laity,,,,,,
Saint Julian the Hospitaller,29 January,male,,                                               ,,,,,laity,,,,,,
Hosea the Prophet,17 October,male,,     ,,,,,laity,,,,,,
Blessed Hosanna of Cattaro,27 April,female,1493,    ,,1565,,Kotor,nun,,,1934,pope-pius-xi,,
Blessed Osanna Andreasi,18 June,female,1449,       ,Italy,1505,,,nun,,,1694,pope-innocent-xii,,
Saint Hortulanus of North Africa,28 November,male,, ,,,,,priest,,,,,,
Saint Horres of Nicaea,13 March,male,,,,,"at Nicaea, Bithynia (modern Iznik, Turkey), date unknown",Nicaea,laity,,,,,,
Saint Salvator of Horta,18 March,male,1520,         ,Spain,1567,,Italy,laity,,,1711,pope-clement-xi,1938,pope-pius-xi
Saint Hormisdas of Persia,8 August,male,, ,Persia,420,,,laity,,,,,,
Blessed Josaphata Mykhailyna Hordashevska,25 March,female,1869,         ,Ukraine,1919,,Ukraine,nun,,,2001,pope-saint-john-paul-ii,,
Pope Saint Hormisdas,6 August,unknown,,        ,Italy,523,,Italy,laity,,,,,,
Saint Zygmunt Gorazdowski,1 January,female,1845,                 ,Poland,1920,,Ukraine,nun,1999,pope-saint-john-paul-ii,2001,pope-saint-john-paul-ii,2005,pope-benedict-xvi
Blessed Basil Hopko,23 July,male,1904,  ,Slovakia,1976,,Slovakia,priest,2003,pope-saint-john-paul-ii,2003,pope-saint-john-paul-ii,,
Saint Hope,1 August,female,,        ,,,"scourged, thrown into a fire, and then beheaded, date unknown",beheaded,laity,,,,,,
Saint Honorius of Buzançais,9 January,male,,Berry,France,1250,,France,laity,,,,,1444,pope-eugene-iv
Saint Honorius of Brescia,24 April,male,,  ,,586,,,priest,,,,,,
Saint Honorius of Alexandria,30 December,unknown,,,,483,,Egypt,laity,,,,,,
Saint Honorius of Ostia,21 November,unknown,,,,,"Ostia, Italy, date unknown",Italy,laity,,,,,,
Saint Honorina of Graville,27 February,female,,          ,,,in Gaul (modern France),France,laity,,,,,,
Saint Honoratus of Ostia,22 December,unknown,,,,,"at Ostia, Italy",Italy,laity,,,,,,
Saint Honoratus of North Africa,29 December,unknown,,,,,,,laity,,,,,,
Saint Honoratus of Toulouse,22 December,male,,     ,Navarre,,,,priest,,,,,,
Saint Honoratus of Vercelli,29 October,male,330,Vercelli,Italy,415,,,priest,,,,,,
Saint Honoratus of Canterbury,30 September,male,,        ,Italy,653,,England,priest,,,,,,
Saint Honoratus of Potenza,27 August,unknown,,    ,,303,,Italy,laity,,,,,,
Saint Honorius of Amiens,16 May,male,,                        ,France,653,,France,priest,,,,,,
Saint Honoratus of Fondi,16 January,male,,  ,,,,,laity,,,,,,
Saint Honoratus of Arles,16 January,male,350,                 ,Gaul,429,,,laity,,,,,,
Saint Honorata of Pavia,11 January,female,, ,,500,,,nun,,,,,,
Saint Honoratus of Milan,8 February,male,,   ,,570,,,priest,,,,,,
Saint Honestus of Nimes,28 November,male,, ,France,270,,Spain,priest,,,,,,
Saint Homobonus of Cremona,13 November,male,,                  ,Italy,1197,,Edigio,laity,,,,,1199,pope-innocent-iii
Saint Maximus the Confessor,Constantinople,male,580,            ,Constantinople,662,,,laity,,,,,,
Holy Innocents,28 December,male,,                                      ,,,,,priest,,,,,,
Saint Vimin of Holywood,21 January,male,,   ,Scotland,615,,,priest,,,,,,
Our Lady of Guadalupe,12 December,male,,                                                   ,,,,,priest,,,,,,
Holy Family,Alto Valle de Rio Negro,unknown,,          ,,,,,laity,,,,,,
Saint Vicelin of Oldenburg,12 December,male,1088,Germany,,1154,,France,priest,,,,,,
Saint Frederick of Utrecht,Netherlands,male,,      ,,838,,Mass,priest,,,,,,
Blessed Margaret of Hohenfels,26 December,female,,  ,,1150,,,nun,,,,,,
Blessed John of Vallombrosa,10 March,male,1310,Florence,Italy,1395,,Italy,laity,,,,,,
Blessed Sidney Hodgson,10 December,unknown,,English,,1591,,England,priest,1929,pope-pius-xi,1929,pope-pius-xi,,
Saint Clement Mary Hofbauer,Redemptorists,male,1751,                   ,Czech Republic,1820,,Austria,laity,1876,pope-blessed-pius-ix,1888,pope-leo-xiii,1909,pope-saint-pius-x
Saint Ioachim Hao,9 July,male,1782,   ,China,1839,,China,laity,1899,pope-leo-xiii,1900,pope-leo-xiii,2000,pope-saint-john-paul-ii
Blessed Ida of Hohenfels,24 February,female,,,,1195,,,nun,,,,,,
Blessed Anne Hamard,1 February,female,1742, ,France,1794,,France,laity,1983,pope-saint-john-paul-ii,1984,pope-saint-john-paul-ii,,
Saint Erlafrid of Hirschau,6 November,male,, ,,,,,laity,,,,,,
Saint Angilbert of Centula,18 February,male,740,           ,,814,,,nun,,,,,,
Saint Hippolytus of Rome,13 August,male,,                                      ,,,"dragged or torn to death by horses outside Rome, Italy",Italy,laity,,,,,,
Saint Hirenarchus of Sebaste,27 November,male,,,,305,,Armenia,laity,,,,,,
Blessed Hippolytus Galantini,20 March,male,1565,      ,Italy,1619,,,priest,,,1825,pope-leo-xii,,
Saint Hippolytus,2 December,unknown,,,,258,,scourged to death,laity,,,,,,
Saint Hippolytus of Africa,3 February,unknown,,,,,unspecified location in north Africa,Africa,laity,,,,,,
Saint Hippolytus of Saint-Claude,28 November,male,,,,775,,,priest,,,,,,
Saint Hippolytus of Antioch,30 January,male,,,,,,,priest,,,,,,
Saint Himerius,13 November,male,,,,610,,,laity,,,,,,
Saint Hipparchus of Samosata,9 December,unknown,,,,297,,crucified,laity,,,,,,
Blessed Walter of Himmerode,22 January,male,,Brabant,Belgium,1222,,Belgium,laity,,,,,,
Blessed Imana of Loss,21 October,female,,,,1270,,,nun,,,,,,
Saint Himerius of Amelia,17 June,male,,Calabria,Italy,560,,,priest,,,,,,
Saint Himelin,10 March,male,,    ,Ireland,750,,Belgium,priest,,,,,,
Saint Arnold of Hiltensweiler,1 May,unknown,,    ,Germany,1127,,,laity,,,,,,
Blessed Hilsindis,4 May,female,,,,1028,,,nun,,,,,,
Saint Illtyd,6 November,male,,       ,Wales,505,,France,laity,,,,,,
Saint Tillo of Solignac,7 January,male,610,          ,Germany,702,,France,priest,,,,,,
Saint Bernward of Hildesheim,20 July,male,960,          ,Netherlands,1022,,,priest,,,,,1193,pope-celestine-iii
Saint Hildemarca of Fécamp,19 June,male,,  ,,682,,,nun,,,,,,
Saint Marquard of Hildesheim,2 February,male,,,,880,,Germany,priest,,,,,,
Blessed Hildemar of Arrouaise,13 January,male,,Tounai,Belgium,1097,,France,laity,,,,,,
Saint Hildemar of Beauvais,10 December,male,,,,844,,,priest,,,,,,
Saint Hildelith of Barking,24 March,female,,     ,England,712,,,nun,,,,,,
Blessed Hildegun of Schönau,20 April,female,,Germany,,1188,,Germany,laity,,,,,,
Saint Hildegund,6 February,female,,,,1183,,,laity,,,,,,
Saint Hildegrin of Chalons,19 June,male,,,,827,,,priest,,,,,,
Blessed Hildegard the Empress,30 April,female,754,Swabia,Germany,783,,France,laity,,,,,,
Saint Hiltrude of Liessies,27 September,unknown,,,,790,,,laity,,,,,,
Saint Aldebrandus of Fossombrone,1 May,male,1119,    ,Italy,1219,,Italy,priest,,,,,,
Saint Hildegard von Bingen,17 September,female,1098,                                        ,Germany,1179,,Germany,laity,,,1326,pope-john-xxii,2012,pope-benedict-xvi
Saint Hildebrand of Saint-Gilles,11 April,unknown,, ,,1209,,France,laity,,,,,,
Saint Hildebert of Ghent,4 April,male,,,,752,,,laity,,,,,,
Saint Hilary of Viterbo,3 November,unknown,,,,,"beheaded at Viterbo, Italy",Italy,laity,,,,,,
Saint Hilda of Whitby,17 November,female,614,            ,England,680,,,nun,,,,,,
Saint Hilary the Hermit,27 September,unknown,,,,,France,France,laity,,,,,,
Saint Hilary of Vulturno,21 November,male,,Matera,Italy,1045,,,laity,,,,,,
Saint Hilary of Dijon,28 November,male,,,,,,France,laity,,,,,,
Saint Hilary of Mende,25 October,male,,  ,France,535,,,priest,,,,,,
Saint Hilary of Toulouse,20 May,male,,,,,,,priest,,,,,,
Saint Hilary of Pavia,16 May,male,,,,376,,,priest,,,,,,
Saint Hilary of Galeata,15 May,male,,  ,,558,,,laity,,,,,,
Saint Hilary the Martyr,9 April,unknown,, ,,,,,laity,,,,,,
Saint Hilary of Aquileia,16 March,male,,    ,,284,,tortured to death,priest,,,,,,
Saint Hilary of Poitiers,Athanasius,male,315,                                                             ,France,368,,,priest,,,,,,
Saint Jaime Hilario Barbal,28 July,male,1898,  ,Spain,1937,,Spain,priest,1989,pope-saint-john-paul-ii,1990,pope-saint-john-paul-ii,1999,pope-saint-john-paul-ii
Saint Hilary of Arles,5 May,male,400,          ,France,449,,,priest,,,,,,
Pope Saint Hilary,28 February,male,,           ,Sardinia,,,,laity,,,,,,
Saint Hilary of Carcassone,3 June,male,,,,,,,priest,,,,,,
Saint Hilarion of Ancyra,12 July,unknown,,,,115,,,laity,,,,,,
Saint Hilarion of Gaza,21 October,male,291,                     ,Palestine,371,,Cyprus,laity,,,,,,
Saint Hilarinus,23 August,male,,,,731,,France,laity,,,,,,
Saint Hilarinus of Ostia,7 August,male,,,,361,,Italy,laity,,,,,,
Saint Hilaria of Augsburg,12 August,female,,,,304,,burned alive,laity,,,,,,
Saint Hilaria the Martyr,3 December,unknown,,   ,,283,,martyr,laity,,,,,,
Saint Hieu,2 September,female,,Northumbria,England,657,,England,nun,,,,,,
Saint Anne Line,27 February,female,1565,                 ,England,1601,,England,priest,1929,pope-pius-xi,1929,pope-pius-xi,1970,pope-saint-paul-vi
Blessed Peter Higgins,23 March,male,1601,     ,Ireland,1642,,Ireland,priest,1991,pope-saint-john-paul-ii,1992,pope-saint-john-paul-ii,,
Saint Hierotheus,4 October,unknown,,,,,,,laity,,,,,,
Saint Hilaria of Rome,31 December,unknown,,   ,,,"relics enshrined in the catacombs of Via Salaria, Rome, Italy",Italy,laity,,,,,,
Saint Jerome Lu,28 January,male,1811,    ,China,1858,,China,laity,1908,pope-saint-pius-x,1909,pope-saint-pius-x,2000,pope-saint-john-paul-ii
Saint Hieronides of Alexandria,12 September,unknown,,,,300,,Egypt,laity,,,,,,
Saint Jerome,30 September,male,347,                                                                                                         ,Dalmatia,419,,,priest,,,,,,
Saint Hieron of Mytilene,7 November,unknown,, ,Armenia,300,,Greece,laity,,,,,,
Saint Apollinaris the Apologist,8 January,male,,                  ,,175,,,priest,,,,,,
Saint Giuse Hiên,9 May,unknown,1769,  ,Vietnam,1840,,Vietnam,priest,1899,pope-leo-xiii,1900,pope-leo-xiii,1988,pope-saint-john-paul-ii
Saint Jarlath of Armagh,1 February,male,, ,Irish,480,,,priest,,,,,,
Saint Hieroles of Rome,3 March,unknown,,,,,,,laity,,,,,,
Saint Hidulf of Moyenmoutier,11 July,male,,  ,Germany,707,,,priest,,,,,,
Saint Hiduard,7 September,male,,,,750,,,laity,,,,,,
Saint Hidulphus of Hainault,23 June,male,,  ,,707,,,laity,,,,,,
Saint Hygbald,18 September,male,,,,690,,,laity,,,,,,
